committer	name	organisation	organisation_colour
G Fedewa	Greg Fedewa	Independent	#ff6e1e
Greg	Greg Fedewa	Independent	#ff6e1e
Gregory Sprenger	Gregory Sprenger	CDC	#0057b7
gregorysprenger	Gregory Sprenger	CDC	#0057b7
Pranjal-Bioinfo	Pranjal G.	CSIR-IGIB	#c41319
Daniel Lundin	Daniel Lundin	Linnaeus University	#000000
Alex Hübner	Alex Hübner	MPI-EVA	#006c66
Alex Huebner	Alex Hübner	MPI-EVA	#006c66
alexhbnr	Alex Hübner	MPI-EVA	#006c66
James A. Fellows Yates	James A. Fellows Yates	MPI-EVA	#006c66
James Fellows Yates	James A. Fellows Yates	MPI-EVA	#006c66
maxibor	Maxime Borry	MPI-EVA	#006c66
Maxime Borry	Maxime Borry	MPI-EVA	#006c66
Antonia Schuster	Antonia Schuster	QBiC	#1167be
AntoniaSchuster	Antonia Schuster	QBiC	#1167be
d4straub	Daniel Straub	QBiC	#1167be
Daniel Straub	Daniel Straub	QBiC	#1167be
Sabrina Krakau	Sabrina Krakau	QBiC	#1167be
Adam Rosenbaum	Adam Rosenbaum	Region Västerbotten	#004f9e
adro	Adam Rosenbaum	Region Västerbotten	#004f9e
Jim Downie	Jim Downie	Sanger	#2e3b87
prototaxites	Jim Downie	Sanger	#2e3b87
Maxime Garcia	Maxime U. Garcia	SciLifeLab	#a7c947
Maxime U Garcia	Maxime U. Garcia	SciLifeLab	#a7c947
MaxUlysse	Maxime U. Garcia	SciLifeLab	#a7c947
Hadrien Gourlé	Hadrien Gourlé	SLU	#00634c
William Rosenbaum	William Rosenbaum	UMU	#2a4765
Williams UMU-MacBook	William Rosenbaum	UMU	#2a4765
willros	William Rosenbaum	UMU	#2a4765
Diego Alvarez S.	Diego Alvarez Saravia	Universidad de Magallanes	#424892
PhilPalmer	Phil Palmer	University of Cambridge	#8a1f19
Carson J Miller	Carson J. Miller	University of Washington	#4b2e83
Carson J. Miller	Carson J. Miller	University of Washington	#4b2e83
Jeferyd Yepes G	Jeferyd Yepes García	University of Fribourg	#221f21
Jeferyd Yepes	Jeferyd Yepes García	University of Fribourg	#221f21
Adam Talbot	Adam Talbot
Alem Gusinac	Alem Gusinac
alemg	Alem Gusinac
Alex Caswell	Alex Caswell
Alexander Peltzer	Alexander Peltzer
@alxndrdiaz	Alexander Ramos Díaz
Alexander Ramos Díaz	Alexander Ramos Díaz
amizeranschi	Alexandru Mizeranschi
nf-core-bot	bot
runner	bot
Travis CI User	bot
Danielle Callan	Danielle Callan
Rike	Friederike Hanssen
Gisela Gabernet	Gisela Gabernet
Harshil Patel	Harshil Patel
Johannes Alneberg	Johannes Alneberg
kevinmenden	Kevin Menden
Mark Lubberts	Mark Lubberts
Matthias Hörtenhuber	Matthias Hörtenhuber
Michael L Heuer	Michael L. Heuer
IceGreb	Nikolaos Vergoulidis
Nikolaos Vergoulidis	Nikolaos Vergoulidis
Paul Cantalupo	Paul Cantalupo
Phil Ewels	Phil Ewels
Sateesh	Sateesh Peri
Sateesh_Peri	Sateesh Peri
muniheart	Thad Edens
Till E	Till Englert
Till Englert	Till Englert
Usman Rashid	Usman Rashid
Vini Salazar	Vini Salazar

